count1;count2;count3;count4;exp_time;time;date;inv_dil;replicate;strain;avg_count;counts_per_ml;v_sample_ul;v_etoh_ul;time_units;comments;pos1_swimming;pos1_total;pos2_swimming;pos2_total;droplet_swimming;droplet_total;
0;0;0;0;-1;17:30;03/07/2023;0;A1;CC125;;;25;25;days;Faux Count;;;;;;;
0;0;0;0;-1;17:30;03/07/2023;0;A2;MBO2;;;25;25;;Faux Count;;;;;;;
0;0;0;0;-1;17:30;03/07/2023;0;A3;TPG1;;;25;25;;Faux Count;;;;;;;
0;0;0;0;-1;17:30;03/07/2023;0;A4;ODA1;;;25;25;;Faux Count;;;;;;;
0;0;0;0;0;17:00;04/07/2023;0;C1;CC125;;;25;25;;Faux Count;;;;;;;
0;0;0;0;0;17:00;04/07/2023;0;C2;CC125;;;25;25;;Faux Count;;;;;;;
0;0;0;0;0;17:00;04/07/2023;0;C3;CC125;;;25;25;;Faux Count;;;;;;;
0;0;0;0;-2;17:00;02/07/2023;0;O0;CC125;;;25;25;;Faux Count;;;;;;;
0;0;0;0;-1;17:00;03/07/2023;0;O0;CC125;;;25;25;;Faux Count;;;;;;;
0;0;0;0;0;17:30;04/07/2023;0;A1;CC125;;;25;25;;;;;;;;;
0;0;0;0;0;17:30;04/07/2023;0;A2;MBO2;;;25;25;;;;;;;;;
0;0;0;0;0;17:30;04/07/2023;0;A3;TPG1;;;25;25;;;;;;;;;
0;0;0;0;0;17:30;04/07/2023;0;A4;ODA1;;;25;25;;;;;;;;;
0;0;0;0;0;17:30;04/07/2023;0;O0;CC125;;;25;25;;Faux Count;;;;;;;
0;0;0;0;1;11:06;05/07/2023;0;C1;CC125;;;25;25;;;;;;;;;
0;0;0;0;1;11:06;05/07/2023;;C2;CC125;;;25;25;;;;;;;;;
0;0;0;0;1;11:06;05/07/2023;;C3;CC125;;;25;25;;;;;;;;;
0;0;0;0;1;11:06;05/07/2023;;A1;CC125;;;25;25;;;1;9;1;7;1;3;
0;0;0;0;1;11:06;05/07/2023;;A2;MBO2;;;25;25;;;0;9;0;4;1;4;
0;0;0;0;1;11:06;05/07/2023;;A3;TPG1;;;25;25;;;0;6;0;4;1;5;
0;1;0;1;1;11:06;05/07/2023;;A4;ODA1;;;25;25;;;1;12;1;6;1;8;
0;0;0;0;1;11:06;05/07/2023;;O0;CC125;;;25;25;;;2;6;2;6;3;18;
2;0;0;0;2;13:30;06/07/2023;;C1;CC125;;;25;25;;;4;6;3;9;0;1;
0;0;0;0;2;13:30;06/07/2023;;C2;CC125;;;25;25;;;2;4;1;2;0;999;0/0
0;1;1;0;2;13:30;06/07/2023;;C3;CC125;;;25;25;;;1;9;0;3;0;1;
0;0;0;1;2;13:30;06/07/2023;;A1;CC125;;;25;25;;;2;9;1;16;0;4;
0;2;0;1;2;13:30;06/07/2023;;A2;MBO2;;;25;25;;;0;4;0;5;0;3;
2;0;0;0;2;13:30;06/07/2023;;A3;TPG1;;;25;25;;;2;6;0;9;0;7;
1;0;1;0;2;13:30;06/07/2023;;A4;ODA1;;;25;25;;;0;1;0;4;1;2;
2;2;1;4;2;13:30;06/07/2023;;O0;CC125;;;25;25;;;0;2;0;2;3;6;
1;1;0;1;3;13:00;07/07/2023;;C1;CC125;;;25;25;;;9;33;2;35;1;8;
0;2;0;0;3;13:00;07/07/2023;;C2;CC125;;;25;25;;;1;2;2;3;2;5;
3;4;1;1;3;13:00;07/07/2023;;C3;CC125;;;25;25;;;2;9;1;9;5;16;
2;0;1;3;3;13:00;07/07/2023;;A1;CC125;;;25;25;;;0;12;0;2;4;6;
7;0;0;0;3;13:00;07/07/2023;;A2;MBO2;;;25;25;;;1;9;0;2;3;9;
0;1;1;0;3;13:00;07/07/2023;;A3;TPG1;;;25;25;;;5;15;0;1;4;9;
0;0;0;0;3;13:00;07/07/2023;;A4;ODA1;;;25;25;;Contamination;0;3;0;8;0;5;
0;0;2;2;3;13:00;07/07/2023;;O0;CC125;;;10;0;;;2;22;6;13;8;30;
0;5;0;0;4;14:45;08/07/2023;;C1;CC125;;;25;25;;;10;20;5;11;4;9;
0;3;0;1;4;14:45;08/07/2023;;C2;CC125;;;25;25;;;1;18;1;14;3;6;
0;3;0;0;4;14:45;08/07/2023;;C3;CC125;;;25;25;;;5;11;3;13;6;6;
2;0;3;0;4;14:45;08/07/2023;;A1;CC125;;;25;25;;;2;10;2;18;1;6;
0;0;0;2;4;14:45;08/07/2023;;A2;MBO2;;;25;25;;;7;27;6;12;8;12;
5;5;4;2;4;14:45;08/07/2023;;A3;TPG1;;;25;25;;;15;29;23;39;10;22;
1;0;0;0;4;14:45;08/07/2023;;A4;ODA1;;;25;25;;;2;9;0;4;5;17;
5;0;5;2;4;14:45;08/07/2023;;O0;CC125;;;25;25;;;6;24;5;19;15;20;
0;0;1;0;5;14:55;09/07/2023;;C1;CC125;;;25;25;;;4;6;1;10;12;21;
0;1;1;0;5;14:55;09/07/2023;;C2;CC125;;;25;25;;;3;11;1;10;8;11;
0;1;3;1;5;14:55;09/07/2023;;C3;CC125;;;25;25;;;1;8;1;3;7;8;
3;4;2;1;5;14:55;09/07/2023;;A1;CC125;;;25;25;;;2;10;4;15;12;15;
7;8;9;6;5;14:55;09/07/2023;;A2;MBO2;;;25;25;;;5;17;1;27;5;19;
14;17;10;14;5;14:55;09/07/2023;;A3;TPG1;;;25;25;;;21;32;17;27;14;29;
3;0;0;5;5;14:55;09/07/2023;;A4;ODA1;;;25;25;;;1;8;1;7;2;12;
6;14;9;6;5;14:55;09/07/2023;;O0;CC125;;;25;25;;Contamination;12;20;18;33;13;27;
12;17;16;21;6;14:15;10/07/2023;;C1;CC125;;;25;25;;;0;8;2;11;6;44;
2;18;7;4;6;14:15;10/07/2023;;C2;CC125;;;25;25;;;7;16;3;6;5;29;Partial Screen - Droplet
23;35;20;19;6;14:15;10/07/2023;;C3;CC125;;;25;25;;;4;12;7;13;5;26;Partial Screen - Droplet
18;15;22;16;6;14:15;10/07/2023;;A1;CC125;;;25;25;;;3;21;3;18;13;50;
46;23;24;20;6;14:15;10/07/2023;;A2;MBO2;;;25;25;;;31;66;11;68;16;29;
25;39;35;32;6;14:15;10/07/2023;;A3;TPG1;;;25;25;;;20;47;15;33;80;100;droplet - estimate
1;7;4;3;6;14:15;10/07/2023;;A4;ODA1;;;25;25;;;3;23;3;21;3;35;
89;78;90;98;6;14:15;10/07/2023;;O0;CC125;;;25;25;;;9;50;10;48;80;100;droplet - estimate
26;21;28;17;7;12:27;11/07/2023;;C1;CC125;;;25;25;;;5;13;2;10;13;23;
14;14;13;15;7;12:27;11/07/2023;;C2;CC125;;;25;25;;;1;5;0;11;4;22;
15;30;14;20;7;12:27;11/07/2023;;C3;CC125;;;25;25;;;4;9;4;5;7;17;
38;32;22;10;7;12:27;11/07/2023;;A1;CC125;;;25;25;;Contamination;4;8;5;11;9;31;
48;46;50;34;7;12:27;11/07/2023;;A2;MBO2;;;25;25;;;4;19;8;27;4;17;
342;285;;;7;12:27;11/07/2023;;A3;TPG1;;;25;25;;;16;39;35;43;8;18;
3;0;1;3;7;12:27;11/07/2023;;A4;ODA1;;;25;25;;;0;7;0;4;1;10;
6;9;3;7;7;12:27;11/07/2023;;O0;CC125;;;25;25;;;1;8;2;8;0;10;
20;36;35;16;8;12:40;12/07/2023;;C1;CC125;;;25;25;;;7;13;4;6;5;13;
18;24;22;19;8;12:40;12/07/2023;;C2;CC125;;;25;25;;;7;14;4;5;7;16;
33;39;65;28;8;12:40;12/07/2023;;C3;CC125;;;25;25;;;5;7;4;10;6;17;
43;52;45;29;8;12:40;12/07/2023;;A1;CC125;;;25;25;;;4;6;5;11;13;22;
322;375;298;;8;12:40;12/07/2023;;A2;MBO2;;;25;50;;;16;46;22;49;80;100;droplet - estimate
106;138;147;133;8;12:40;12/07/2023;;A3;TPG1;;;25;50;;;15;36;10;30;19;44;
2;5;13;0;8;12:40;12/07/2023;;A4;ODA1;;;25;25;;;0;3;0;6;0;11;
15;18;17;24;8;12:40;12/07/2023;;O0;CC125;;;25;25;;;1;9;1;7;4;12;
113;122;132;128;9;12:00;13/07/2023;;C1;CC125;;;25;50;;;15;40;13;39;17;31;
31;52;54;32;9;12:00;13/07/2023;;C2;CC125;;;25;50;;;5;10;10;12;10;25;
104;126;130;81;9;12:00;13/07/2023;;C3;CC125;;;25;50;;;12;17;7;15;12;29;
86;131;95;70;9;12:00;13/07/2023;;A1;CC125;;;25;50;;;4;11;1;15;80;100;droplet - estimate
347;336;;;9;12:00;13/07/2023;;A2;MBO2;;;25;50;;;11;57;12;54;50;100;droplet - estimate
63;75;39;25;9;12:00;13/07/2023;;A3;TPG1;;;25;50;;;20;77;31;89;25;63;
1;1;0;2;9;12:00;13/07/2023;;A4;ODA1;;;25;50;;;2;17;1;5;0;5;
69;81;83;60;9;12:00;13/07/2023;;O0;CC125;;;25;50;;;4;11;6;18;4;13;
52;48;28;32;10;18:07;14/07/2023;;C1;CC125;;;25;75;;50uL EtOH + 25uL MilliQ;19;25;14;16;21;25;
118;197;145;108;10;18:07;14/07/2023;;C2;CC125;;;25;75;;;16;27;30;46;26;34;
138;148;114;;10;18:07;14/07/2023;;C3;CC125;;;25;75;;;8;20;11;16;13;16;
56;70;47;43;10;18:07;14/07/2023;;A1;CC125;;;25;75;;;29;44;35;55;40;48;
207;221;;;10;18:07;14/07/2023;;A2;MBO2;;;25;75;;;22;66;31;50;50;100;droplet - estimate
242;240;;;10;18:07;14/07/2023;;A3;TPG1;;;25;75;;;22;32;37;44;50;100;droplet - estimate
8;5;4;2;10;18:07;14/07/2023;;A4;ODA1;;;25;75;;;0;5;1;9;0;1;
15;4;0;35;10;18:07;14/07/2023;;O0;CC125;;;25;75;;;3;10;2;9;15;17;
