count1;count2;count3;count4;exp_time;time;date;inv_dil;replicate;strain;avg_count;counts_per_ml;v_sample_ul;v_etoh_ul;time_units
0;0;0;16;0;16:40;22/06/2023;1000;500_A;CC125;;;25;25;mins
4;5;5;0;20;16:40;22/06/2023;1000;500_A;CC125;;;25;25;
14;20;8;13;40;17:00;22/06/2023;1000;500_A;CC125;;;25;25;
10;8;7;7;60;17:00;22/06/2023;1000;500_A;CC125;;;25;25;
0;0;0;0;0;16:40;22/06/2023;1000;500_B;CC125;;;25;25;
1;0;0;0;20;16:40;22/06/2023;1000;500_B;CC125;;;25;25;
4;3;0;2;40;17:00;22/06/2023;1000;500_B;CC125;;;25;25;
4;3;0;2;60;17:00;22/06/2023;1000;500_B;CC125;;;25;25;
1;0;0;1;0;16:40;22/06/2023;1000;1000_A;CC125;;;25;25;
0;0;1;2;20;16:40;22/06/2023;1000;1000_A;CC125;;;25;25;
0;1;1;0;40;17:00;22/06/2023;1000;1000_A;CC125;;;25;25;
4;0;0;2;60;17:00;22/06/2023;1000;1000_A;CC125;;;25;25;
1;0;0;0;0;16:40;22/06/2023;1000;1000_B;CC125;;;25;25;
1;0;0;0;20;16:40;22/06/2023;1000;1000_B;CC125;;;25;25;
0;0;0;0;40;17:00;22/06/2023;1000;1000_B;CC125;;;25;25;
0;1;1;0;60;17:00;22/06/2023;1000;1000_B;CC125;;;25;25;
2;3;4;1;0;16:40;22/06/2023;1000;2000_A;CC125;;;25;25;
3;3;1;0;20;16:40;22/06/2023;1000;2000_A;CC125;;;25;25;
1;5;5;0;40;17:00;22/06/2023;1000;2000_A;CC125;;;25;25;
1;1;2;1;60;17:00;22/06/2023;1000;2000_A;CC125;;;25;25;
1;0;1;0;0;16:40;22/06/2023;1000;2000_B;CC125;;;25;25;
1;0;0;0;20;16:40;22/06/2023;1000;2000_B;CC125;;;25;25;
1;2;0;2;40;17:00;22/06/2023;1000;2000_B;CC125;;;25;25;
0;1;1;0;60;17:00;22/06/2023;1000;2000_B;CC125;;;25;25;
17;22;9;15;60;17:00;22/06/2023;1000;control_rot;CC125;;;25;25;
16;12;18;18;60;17:00;22/06/2023;1000;control_still;CC125;;;25;25;
0;0;0;0;0;12:30;15/06/2023;1000;500_C;CC125;;;25;25;
0;0;0;0;20;12:30;15/06/2023;1000;500_C;CC125;;;25;25;
0;0;0;1;40;12:30;15/06/2023;1000;500_C;CC125;;;25;25;
0;1;0;0;60;12:30;15/06/2023;1000;500_C;CC125;;;25;25;
0;0;0;0;0;12:30;15/06/2023;1000;1000_C;CC125;;;25;25;
0;0;0;0;20;12:30;15/06/2023;1000;1000_C;CC125;;;25;25;
1;0;0;0;40;12:30;15/06/2023;1000;1000_C;CC125;;;25;25;
1;0;0;0;60;12:30;15/06/2023;1000;1000_C;CC125;;;25;25;
0;0;0;0;0;12:30;15/06/2023;1000;2000_C;CC125;;;25;25;
0;0;0;0;20;12:30;15/06/2023;1000;2000_C;CC125;;;25;25;
0;0;0;2;40;12:30;15/06/2023;1000;2000_C;CC125;;;25;25;
0;1;2;1;60;12:30;15/06/2023;1000;2000_C;CC125;;;25;25;
