source_folder,eid,label,dt,sep,density,df
Metaexperiment_2025_02_18_9hh_11mm_cell_trapping_faad866cd0,faad866cd0,D-A raw,2025-02-18 09:11:56.880131,True,32000.0,2.0
Metaexperiment_2025_02_19_9hh_1mm_cell_trapping_0e5a886132,0e5a886132,B-B raw,2025-02-19 09:01:58.459862,True,245000.0,2.0
Metaexperiment_2025_02_20_9hh_10mm_cell_trapping_373a669541,373a669541,B-B raw,2025-02-20 09:10:08.984298,True,95000.0,2.0
Metaexperiment_2025_08_15_9hh_10mm_cell_trapping_e59b984694,e59b984694,G-13Aug25,2025-08-15 11:07:47.090064,True,665000.0,2.0
Metaexperiment_2025_08_21_9hh_18mm_cell_trapping_88cf8067d8,88cf8067d8,L1-18Aug25,2025-08-21 10:40:30.171786,True,1447500.0,3.0
Metaexperiment_2025_08_27_9hh_10mm_cell_trapping_cdae84848d,cdae84848d,A1-25Aug,2025-08-27 09:55:47.447721,True,815000.0,2.0
Metaexperiment_2025_09_16_9hh_22mm_cell_trapping_1752777526,1752777526,A1-12Sept,2025-09-16 13:04:46.678989,True,520000.0,2.0
Metaexperiment_2025_10_21_9hh_35mm_cell_trapping_9c0fd5d6ff,9c0fd5d6ff,14,2025-10-21 10:32:47.010252,True,380000.0,2.0
Metaexperiment_2025_10_21_9hh_35mm_cell_trapping_9c0fd5d6ff,9c0fd5d6ff,C2-7Oct25,2025-10-21 10:33:24.030415,True,355000.0,2.0
Metaexperiment_2025_11_06_9hh_18mm_cell_trapping_d2ae987859,d2ae987859,MA5-7Oct25,2025-11-06 11:51:13.061800,True,885000.0,2.0
Metaexperiment_2025_11_11_9hh_22mm_cell_trapping_2f7e97c836,2f7e97c836,MB3-21Oct,2025-11-11 14:01:26.012775,True,1355000.0,2.0
Metaexperiment_2025_11_13_9hh_22mm_cell_trapping_097be0f154,097be0f154,MA3-21Oct25,2025-11-13 12:50:56.643520,True,1280000.0,2.0
Metaexperiment_2025_12_02_9hh_21mm_cell_trapping_bf9461486f,bf9461486f,MB4-18Nov25,2025-12-02 13:59:32.107702,True,720000.0,2.0
Metaexperiment_2025_12_04_10hh_39mm_cell_trapping_19bef1dc68,19bef1dc68,MA4-18Nov25,2025-12-04 11:51:56.437185,True,5930000.0,2.0
Metaexperiment_2025_12_15_10hh_2mm_cell_trapping_0975bf718e,0975bf718e,MC2-2Dec25,2025-12-15 11:21:32.595071,True,695000.0,2.0
Metaexperiment_2025_12_20_9hh_41mm_cell_trapping_d4ee7a9a9e,d4ee7a9a9e,Cx3-2Dec25,2025-12-20 16:51:29.957360,True,2570000.0,2.0
Metaexperiment_2025_12_21_10hh_19mm_cell_trapping_b7acbf012e,b7acbf012e,Bx4B-2Dec25,2025-12-21 17:13:16.091284,True,4750000.0,3.0
Metaexperiment_2025_12_22_8hh_57mm_cell_trapping_14e56f98d0,14e56f98d0,MC9-18Nov25,2025-12-22 15:57:34.123874,True,400000.0,40.0
Metaexperiment_2025_12_30_9hh_9mm_cell_trapping_9062ae794b,9062ae794b,Bx5-2Dec25,2025-12-30 13:23:08.908398,True,5970000.0,3.0
