rep,g,minute,swimmers,total,control_swimmers,control_total
A,500,0,0,5,1,15
A,500,10,0,5,1,6
A,500,20,0,3,3,24
A,500,30,1,13,,
A,1000,0,0,2,,
A,1000,10,0,3,,
A,1000,20,0,12,,
A,1000,30,6,33,,
A,2000,0,0,3,,
A,2000,10,0,5,,
A,2000,20,1,6,,
A,2000,30,1,5,,
B,500,0,0,6,,
B,500,10,0,3,,
B,500,20,0,11,,
B,500,30,1,15,,
B,1000,0,0,7,,
B,1000,10,0,23,,
B,1000,20,0,17,,
B,1000,30,1,9,,
B,2000,0,0,4,,
B,2000,10,3,13,,
B,2000,20,1,7,,
B,2000,30,1,8,,
C,500,0,0,2,,
C,500,10,1,13,,
C,500,20,0,28,,
C,500,30,3,9,,
C,1000,0,0,2,,
C,1000,10,0,11,,
C,1000,20,0,10,,
C,1000,30,1,11,,
C,2000,0,0,1,,
C,2000,10,0,5,,
C,2000,20,1,5,,
C,2000,30,2,8,,
