count1;count2;count3;count4;exp_time;time;date;inv_dil;replicate;strain;avg_count;counts_per_ml;v_sample_ul;v_etoh_ul;time_units;comments
15;28;18;24;1;1350;31/07/23;10;F1-3-1;CC125;;;25;25;days;
21;29;29;18;1;1350;31/07/23;10;F1-3-2;CC125;;;25;25;;
21;30;47;17;1;1350;31/07/23;10;F1-3-3;CC125;;;25;25;;
42;53;35;31;1;1350;31/07/23;10;F1-3-4;CC125;;;25;25;;
6;12;8;4;1;1350;31/07/23;10;F1-3-1-ss;CC125;;;25;25;;
5;6;6;4;1;1350;31/07/23;10;F1-3-2-ss;CC125;;;25;25;;
4;6;4;1;1;1350;31/07/23;10;F1-3-3-ss;CC125;;;25;25;;
5;10;7;7;1;1350;31/07/23;10;F1-3-4-ss;CC125;;;25;25;;
8;35;18;11;2;1300;01/08/23;10;F1-3-1;CC125;;;25;25;;
28;38;38;28;2;1300;01/08/23;10;F1-3-2;CC125;;;25;25;;
32;32;42;15;2;1300;01/08/23;10;F1-3-3;CC125;;;25;25;;
34;60;77;39;2;1300;01/08/23;10;F1-3-4;CC125;;;25;25;;
0;2;1;0;2;1300;01/08/23;10;F1-3-1-ss;CC125;;;25;25;;
2;0;0;0;2;1300;01/08/23;10;F1-3-2-ss;CC125;;;25;25;;
1;6;4;1;2;1300;01/08/23;10;F1-3-3-ss;CC125;;;25;25;;
3;14;9;6;2;1300;01/08/23;10;F1-3-4-ss;CC125;;;25;25;;
91;74;68;59;3;1247;02/08/23;10;F1-3-1;CC125;;;25;25;;
45;60;55;59;3;1247;02/08/23;10;F1-3-2;CC125;;;25;25;;
46;81;57;49;3;1247;02/08/23;10;F1-3-3;CC125;;;25;25;;
33;36;22;38;3;1247;02/08/23;10;F1-3-4;CC125;;;25;25;;
5;6;8;5;3;1233;02/08/23;10;F1-3-1-ss;CC125;;;25;25;;
12;14;9;5;3;1233;02/08/23;10;F1-3-2-ss;CC125;;;25;25;;
12;14;;10;3;1233;02/08/23;10;F1-3-3-ss;CC125;;;25;25;;
19;22;27;17;3;1233;02/08/23;10;F1-3-4-ss;CC125;;;25;25;;
100;109;109;109;4;1400;03/08/23;10;F1-3-1;CC125;;;25;25;;
70;91;83;80;4;1400;03/08/23;10;F1-3-2;CC125;;;25;25;;
62;85;84;58;4;1400;03/08/23;10;F1-3-3;CC125;;;25;25;;
92;70;65;58;4;1400;03/08/23;10;F1-3-4;CC125;;;25;25;;
63;68;50;44;4;1245;03/08/23;10;F1-3-1-ss;CC125;;;25;25;;
15;39;33;23;4;1245;03/08/23;10;F1-3-2-ss;CC125;;;25;25;;
21;34;35;17;4;1245;03/08/23;10;F1-3-3-ss;CC125;;;25;25;;
48;103;88;45;4;1245;03/08/23;10;F1-3-4-ss;CC125;;;25;25;;
69;89;94;65;5;1400;04/08/23;10;F1-3-1;CC125;;;25;75;;50uL EtOh + 25uL MilQ
114;88;116;63;5;1400;04/08/23;10;F1-3-2;CC125;;;25;75;;50uL EtOh + 25uL MilQ
64;97;80;58;5;1400;04/08/23;10;F1-3-3;CC125;;;25;75;;50uL EtOh + 25uL MilQ
83;139;111;81;5;1400;04/08/23;10;F1-3-4;CC125;;;25;75;;50uL EtOh + 25uL MilQ
123;144;134;146;5;1400;04/08/23;10;F1-3-1-ss;CC125;;;25;50;;
70;78;88;72;5;1400;04/08/23;10;F1-3-2-ss;CC125;;;25;50;;
64;72;85;50;5;1400;04/08/23;10;F1-3-3-ss;CC125;;;25;50;;
99;113;116;88;5;1400;04/08/23;10;F1-3-4-ss;CC125;;;25;50;;
137;116;109;138;6;1552;05/08/23;10;F1-3-1;CC125;;;25;100;;50uL EtOH + 50uL MilQ
87;161;109;138;6;1552;05/08/23;10;F1-3-2;CC125;;;25;100;;50uL EtOH + 50uL MilQ
112;310;108;129;6;1552;05/08/23;10;F1-3-3;CC125;;;25;100;;50uL EtOH + 50uL MilQ
1520;;;;6;1552;05/08/23;10;F1-3-4;CC125;;;25;100;;50uL EtOH + 50uL MilQ
19;34;26;37;6;1641;05/08/23;10;F1-3-1-ss;CC125;;;25;75;;50uL EtOh + 25uL MilQ
33;45;40;22;6;1641;05/08/23;10;F1-3-2-ss;CC125;;;25;75;;50uL EtOh + 25uL MilQ
10;41;22;10;6;1641;05/08/23;10;F1-3-3-ss;CC125;;;25;75;;50uL EtOh + 25uL MilQ
12;16;22;9;6;1641;05/08/23;10;F1-3-4-ss;CC125;;;25;75;;50uL EtOh + 25uL MilQ
